City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
333,Pochutla,MX,82.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
337,Coacoyul,MX,79.65,overcast clouds,17.8058,-99.11,Casa Abuelita Natalia
345,Coralville,US,82.29,few clouds,41.6764,-91.5805,Heartland Inn
346,Faanui,PF,79.9,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
347,Biak,ID,79.57,scattered clouds,-0.9131,122.8766,Penginapan Kim
349,Sola,VU,80.6,scattered clouds,-13.8833,167.55,Leumerus Bungalows
351,Waingapu,ID,80.8,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
361,Simbahan,PH,82.0,overcast clouds,6.3032,120.5836,
365,Laguna,US,81.07,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
367,Tomatlan,MX,81.59,clear sky,19.9333,-105.25,El Salvial
368,Tessalit,ML,91.85,clear sky,20.1986,1.0114,
372,Mahuva,IN,81.16,scattered clouds,21.0914,71.7622,Hotel Blue Diamond.
373,Beyneu,KZ,79.29,scattered clouds,45.3167,55.2,NUR
374,Half Moon Bay,US,80.51,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
375,Shenzhen,CN,88.07,overcast clouds,22.5455,114.0683,Grand Skylight
376,Fare,PF,79.83,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
379,Bilma,NE,87.22,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
386,Gorontalo,ID,80.53,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
390,Barahan,PH,83.08,overcast clouds,13.0121,120.762,Grand Creek Hotel and Resort
391,Gairatganj,IN,88.3,few clouds,23.4202,78.2385,new garib namz road lines
393,Nabire,ID,80.87,clear sky,-3.3667,135.4833,Hotel Nusantara I
395,Avera,US,83.71,broken clouds,33.194,-82.5271,
396,Babina,IN,90.39,few clouds,25.25,78.4667,Tuntun Dhaba
401,Durango,MX,81.45,broken clouds,24.8333,-104.8333,
407,Doha,QA,87.69,clear sky,25.2867,51.5333,Movenpick Hotel Doha
419,Buala,SB,83.12,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
420,Zhuhai,CN,86.86,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
421,Singapore,SG,80.46,scattered clouds,1.2897,103.8501,The Fullerton Hotel Singapore
422,Lompoc,US,85.57,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
425,Charcas,MX,80.62,scattered clouds,23.1333,-101.1167,Hotel El Malacate
437,Dawson,US,87.22,broken clouds,31.7735,-84.4466,Country Hearth Inn & Suites Dawson
440,Lop Buri,TH,80.02,overcast clouds,14.7981,100.654,ลพบุรีอินน์ รีสอร์ท Lopburi Inn Resort
448,Umm Kaddadah,SD,84.22,few clouds,13.6017,26.6876,
450,Price,US,81.66,few clouds,39.5994,-110.8107,National 9 - Price River Inn
452,Davila,PH,80.58,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
453,Robertsport,LR,79.2,light rain,6.7533,-11.3686,Kwepunha Retreat
456,Hamilton,US,82.35,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
457,San Policarpo,PH,81.5,overcast clouds,12.1791,125.5072,Agapita M. Nicart
458,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
463,Dingle,PH,80.87,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
469,Hobyo,SO,78.19,broken clouds,5.3505,48.5268,Iftin hotel hobyo
470,Kismayo,SO,78.78,broken clouds,-0.3582,42.5454,Agan-Hotel
474,Dicabisagan,PH,84.56,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
475,Samarai,PG,82.22,overcast clouds,-10.6167,150.6667,Nuli Sapi
484,Miri,MY,78.94,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
485,Wilmington,US,78.01,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
490,Guinguineo,SN,82.22,clear sky,14.2667,-15.95,
492,Abnub,EG,82.62,broken clouds,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
504,Salina,US,78.93,broken clouds,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
505,Santa Barbara,US,85.33,broken clouds,34.7333,-120.0343,Upper Ballard Campground
507,Taganak,PH,78.94,overcast clouds,6.0833,118.3,Taganak
510,Ca Mau,VN,81.46,broken clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
513,Songkhla,TH,81.84,broken clouds,6.8333,100.6667,ร้านโรตี เมือง. โรตีสาวน้อยใกล้ปั้มปตท
526,Kununurra,AU,84.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
532,Cotonou,BJ,80.58,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
534,Cape Girardeau,US,83.79,broken clouds,37.3834,-89.7168,Independence Park Mobile Home Court
535,Gwadar,PK,80.91,clear sky,25.1216,62.3254,Sadaf Resort
536,Bonfim,BR,78.28,overcast clouds,3.0833,-59.95,
546,San Miguel,SV,80.26,scattered clouds,13.4833,-88.1833,Excalibur
549,Cortez,US,83.16,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
551,Daru,PG,80.85,light rain,-9.0763,143.2092,Daru Lodge
554,Buchanan,LR,78.39,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
556,Mazatlan,MX,82.02,clear sky,23.2167,-106.4167,Hotel La Siesta
561,Kota Kinabalu,MY,80.58,few clouds,5.9749,116.0724,Gaya Centre Hotel
564,Virudunagar,IN,81.0,overcast clouds,9.6,77.9667,SRI RAM JB Residency
570,Makakilo City,US,84.52,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
574,High Rock,BS,84.22,few clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
578,San Mateo Del Mar,MX,83.32,overcast clouds,16.2,-95.0,
579,Coahuayana,MX,82.42,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
586,Manokwari,ID,81.72,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
589,Myrtle Beach,US,79.11,clear sky,33.6891,-78.8867,Bay View Resort Myrtle Beach
591,Tuyen Quang,VN,80.65,heavy intensity rain,21.8233,105.2181,Khách Sạn Tuyên Thoa
592,Puerto Escondido,MX,81.82,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
596,Lahij,YE,84.92,scattered clouds,13.1667,44.5833,
613,Katobu,ID,79.0,overcast clouds,-4.9408,122.5276,La Ode Husein
614,Tual,ID,82.71,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
621,Atar,MR,91.02,overcast clouds,20.5169,-13.0499,Oumou Elghoura
624,Ouallam,NE,89.49,clear sky,14.3188,2.0866,
626,Nhulunbuy,AU,83.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
633,Macouria,GF,78.98,moderate rain,4.9167,-52.3667,Hôtel Le Dronmi
635,Lazaro Cardenas,MX,82.4,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
639,Gigmoto,PH,84.18,overcast clouds,13.7796,124.39,Cj's Travellers Inn
641,Palauig,PH,83.91,overcast clouds,15.435,119.9045,Alperi Botique Resort
654,Xapuri,BR,78.33,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
658,Tabou,CI,78.1,overcast clouds,4.423,-7.3528,hotêl doufoulougou
660,Mirzapur,IN,84.16,overcast clouds,25.15,82.5833,Hotel Yash Inn
667,Jaisalmer,IN,80.67,clear sky,26.9147,70.9181,Hotel Fifu
668,Rudsar,IR,78.13,broken clouds,37.1376,50.288,Hotel Bahar
670,Amahai,ID,81.45,broken clouds,-3.3333,128.9167,HOTEL ISABELA
673,Harper,LR,78.08,overcast clouds,4.375,-7.7169,Screensaver
680,East Stroudsburg,US,79.52,broken clouds,40.9995,-75.1813,Hampton Inn Stroudsburg/Poconos
