City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Havoysund,NO,2022-06-03 21:11:18,70.9963,24.6622,50.23,85,100,9.64
101,Castrillon,ES,2022-06-03 21:11:18,43.3979,-6.7922,56.21,98,80,1.99
102,Souillac,MU,2022-06-03 21:11:19,-20.5167,57.5167,73.29,77,56,15.46
103,Diego De Almagro,CL,2022-06-03 21:11:19,-26.3667,-70.05,68.59,14,91,7.34
104,Kodiak,US,2022-06-03 21:05:06,57.79,-152.4072,63.91,48,0,6.91
105,Gizo,SB,2022-06-03 21:11:20,-8.103,156.8419,82.04,75,87,6.02
106,Husavik,IS,2022-06-03 21:11:20,66.0449,-17.3389,46.0,71,100,8.84
107,Torbay,CA,2022-06-03 21:05:13,47.6666,-52.7314,51.28,93,100,23.02
108,Elko,US,2022-06-03 21:11:20,41.0002,-115.5012,79.05,21,100,15.86
109,Bennington,US,2022-06-03 21:10:45,42.8781,-73.1968,79.02,35,3,9.57
110,Shaunavon,CA,2022-06-03 21:11:21,49.6501,-108.4181,69.67,21,100,8.68
111,Fatsa,TR,2022-06-03 21:11:21,41.0278,37.5014,66.0,90,3,4.23
112,Khovu-Aksy,RU,2022-06-03 21:11:22,51.1333,93.6,43.56,48,62,4.85
113,Kunming,CN,2022-06-03 21:11:22,25.0389,102.7183,62.87,92,67,3.96
114,Polovinnoye,RU,2022-06-03 21:11:22,54.7914,65.9864,48.25,74,33,7.49
115,Stawell,AU,2022-06-03 21:11:23,-37.05,142.7667,43.23,98,56,6.55
116,Leningradskiy,RU,2022-06-03 21:11:23,69.3833,178.4167,33.93,80,100,5.5
117,Mafeteng,LS,2022-06-03 21:11:23,-29.823,27.2374,41.79,38,0,2.28
118,Nikolskoye,RU,2022-06-03 21:11:24,59.7035,30.7861,53.49,95,98,5.28
119,Hobart,AU,2022-06-03 21:05:10,-42.8794,147.3294,48.06,84,40,8.05
